iso3,year,energy_per_capita,co2,co2_per_capita,life_expectancy,gdp_per_capita,gini,night_lights,electricity_access_pct,life_exp_female,life_exp_male
USA,2015,78949.211,5368.497,16.461,78.7219,64359.473,0.41455927,54296126.166666664,100.0,81.2,76.3
USA,2020,72562.68,4689.954,13.817,77.0115,67342.07,0.40001062,57795779.583333336,100.0,79.9,74.2
UZB,2001,23760.396,126.223,5.031,65.8532,3509.7285,,,99.6,69.001,62.802
UZB,2005,21309.84,121.602,4.614,67.481,4160.955,,,99.4,70.424,64.604
UZB,2010,18518.699,107.668,3.793,69.8364,5760.805,,,99.6,72.663,67.046
UZB,2015,17566.406,103.374,3.362,71.3298,7529.7637,,714080.415,99.9,74.212,68.489
UZB,2020,16072.546,108.139,3.22,71.4613,8727.411,,1067408.3491666666,100.0,74.462,68.598
VAT,2001,,,,79.8502,,,,,,
VAT,2005,,,,80.6475,,,,,,
VAT,2010,,,,81.5413,,,,,,
VAT,2015,,,,82.4639,,,,,,
VAT,2020,,,,82.986,,,,,,
VCT,2001,6811.221,0.176,1.549,70.3817,10177.81,,,82.4,73.172,67.859
VCT,2005,8620.119,0.22,1.955,70.4538,12320.071,,,86.2,73.306,67.941
VCT,2010,8884.847,0.224,2.032,70.66,13175.723,,,92.7,73.534,68.217
VCT,2015,9019.196,0.234,2.192,70.4626,14523.581,,,99.4,74.283,67.401
VCT,2020,10110.627,0.238,2.3,69.6051,15763.705,,,100.0,74.459,66.055
VEN,2001,32706.381,130.618,5.229,71.0189,,0.47170475,,99.9,75.35,67.019
VEN,2005,31702.916,148.408,5.541,73.0752,,0.49316522,,98.8,76.967,69.378
VEN,2010,33214.418,189.582,6.58,73.0922,,,,99.1,77.362,69.064
VEN,2015,31703.514,166.328,5.44,73.0044,,,5106202.158333333,100.0,77.395,68.871
VEN,2020,18557.854,80.901,2.844,72.3693,,,4017452.4416666664,99.9,76.501,68.459
VGB,2001,21557.238,0.128,6.158,74.8308,,,,97.2,77.354,72.745
VGB,2005,23127.545,0.165,6.959,75.5694,,,,97.6,78.335,73.166
VGB,2010,25862.717,0.213,7.672,76.2892,,,,98.3,79.126,73.713
VGB,2015,21576.398,0.224,6.474,76.5582,,,,100.0,79.391,73.878
VGB,2020,20193.092,0.18,4.831,76.8941,,,,100.0,79.718,74.141
VIR,2001,519317.438,,,72.2175,,,,100.0,80.9,74.5
VIR,2005,612013.5,,,72.2349,57838.098,,,100.0,80.7,74.3
VIR,2010,281641.375,,,73.235,59272.246,,,100.0,81.4,74.5
VIR,2015,120078.031,,,74.3104,42739.082,,,100.0,82.5,75.7
VIR,2020,105808.312,,,74.7137,45055.78,,,100.0,83.2,76.6
VNM,2001,3104.361,60.983,0.782,72.9842,4570.2686,,,88.9,77.673,68.297
VNM,2005,4560.355,95.842,1.182,73.1983,5776.3633,,,96.1,77.951,68.393
VNM,2010,6177.173,139.564,1.596,73.6107,7274.733,0.39252725,,97.4,78.377,68.775
VNM,2015,8731.437,213.391,2.299,73.9554,9248.024,,1559110.0600000003,99.3,78.7,69.147
VNM,2020,12527.926,362.599,3.697,75.3832,11851.396,0.36790165,2172244.8916666666,99.8,80.314,70.366
VUT,2001,2227.157,0.081,0.422,68.722,3148.3347,,,24.0,71.332,67.192
VUT,2005,1819.392,0.073,0.348,69.1656,3089.437,,,31.0,71.624,67.62
VUT,2010,2811.818,0.125,0.523,69.5703,3359.8496,0.37351298,,44.1,72.455,67.552
VUT,2015,2524.21,0.132,0.496,70.1632,3357.639,,21257.34009166667,52.3,72.851,68.214
VUT,2020,3631.496,0.205,0.687,70.3845,3259.9954,,14383.485833333332,67.3,73.245,68.198
WLD,2001,,,,,,,,78.71524322,70.38241862,65.65698411
WLD,2005,,,,,,,,80.70133108,71.59317807,66.78403764
WLD,2010,,,,,,,,83.4471383,73.15683813,68.35076983
WLD,2015,,,,,,,,86.92426297,74.46227109,69.60769041
WLD,2020,,,,,,,,90.39608828,74.84563261,69.69386511
